#keys:A S D D
#columns:4
#offset:0.0

1.514,3
2.489,1
3.914,2
4.658,3
6.025,1
6.705,3
7.378,2
10.890,3
11.850,1
12.857,2
13.833,3
14.834,1
15.874,2
16.849,3
18.001,2
18.329,1
19.402,3
19.722,2
20.074,1
20.881,3
21.145,2
21.529,1
22.610,2
23.329,3
24.249,1
25.226,2
26.185,3
26.969,1
27.337,2
27.569,3
28.762,2
29.677,3
30.657,1
31.756,2
32.729,3
33.481,1
34.457,2
35.121,3
35.930,2
36.826,3
37.731,1
38.674,3
39.530,2
40.410,1
41.250,2
41.996,3
42.857,1
43.810,2
44.842,3
45.578,1
46.509,2
47.361,3
48.522,1
49.602,2
50.569,3
51.209,1
51.506,2
51.874,3
52.738,1
53.257,2
54.322,3
54.770,1
55.041,2
55.465,3
57.929,2
58.299,3
58.681,1
58.994,2
59.465,3
59.810,1
60.202,2
60.578,3
61.089,1
61.409,2
61.849,3
62.362,1
64.914,2
65.161,3
65.394,1
65.842,2
66.177,3
66.538,1
67.274,2
67.618,3
68.082,1
70.739,1
71.273,2
72.449,3
72.889,1
73.249,2
73.690,3
74.185,1
74.289,1
75.010,2
76.113,3
76.409,1
76.780,2
77.169,3
79.241,2
79.538,1
80.017,3
80.369,2
80.995,3
81.449,1
82.954,3
83.361,2
83.642,1
84.858,3
85.194,2
85.530,1
85.897,2
86.339,3
86.842,2
89.322,1
89.722,2
90.130,3
90.793,1
91.113,2
92.570,3
92.938,2
94.186,1
96.601,3
96.954,2
97.666,1
98.501,2
98.994,3
99.329,2
101.658,2
102.098,3
102.530,1
104.322,2
105.131,3
105.394,1
105.650,2
106.186,3
109.233,1
109.529,2
109.849,3
110.394,2
111.066,1
111.570,2
112.194,3
113.065,2
113.785,3
115.497,1
115.763,2
116.074,3
117.074,2
117.290,3
117.522,2
118.177,1
121.418,3
121.873,2
122.210,1
122.602,2
123.130,2
123.545,3
123.849,2
124.169,2
124.626,1
124.962,2
127.162,3
127.385,2
127.922,2
129.897,2
130.194,3
130.570,2
131.034,1
134.482,2
134.778,3
135.137,2
135.498,1
136.051,2
136.393,3
136.721,2
137.034,1
137.634,2
138.081,3
138.353,2
138.729,1
139.105,2
139.489,3
140.497,2
140.954,3
141.217,1
141.705,2
142.089,3
142.410,1
142.697,2
143.098,3
143.537,1
143.850,2
144.306,3
144.890,1
146.673,2
147.065,3
147.458,2
148.241,3
148.601,2
148.921,1
149.129,2
149.521,3
149.713,2
150.179,1
151.905,3
152.002,2
152.417,1
152.753,2
152.994,3
153.530,1
153.865,2
154.315,3
155.001,2
155.378,2
155.666,3
156.010,1
156.410,2
156.754,3
157.170,2
157.409,2
157.618,2
158.929,1
159.195,2
160.498,3
160.876,2
161.202,1
161.634,2
161.987,3
162.193,2
162.649,1
165.066,2
165.521,3
165.681,2
166.298,1
166.849,3
167.057,2
168.426,1
168.770,2
169.163,3
169.498,2
171.666,1
171.953,2
172.290,3
172.545,2
172.809,1
173.102,2
173.938,3
174.786,2
175.154,3
175.627,2
178.222,1
178.490,2
178.770,3
179.010,2
179.402,1
179.673,2
179.930,3
180.898,2
181.409,3
181.714,2
184.282,1
184.625,2
185.049,3
185.378,2
185.857,1
186.420,2
186.811,3
190.626,2
190.914,3
191.194,2
191.585,1
191.897,2
192.258,3
192.873,2
193.233,3
193.678,2
194.010,1
196.842,2
197.241,3
197.690,2
198.906,3
199.339,2
199.970,1
200.322,2
203.362,3
204.929,1
205.154,2
205.545,3
206.010,2
206.378,3
206.594,2
210.098,3
210.450,2
210.641,1
210.938,2
211.258,3
211.530,2
211.930,1
212.362,2
212.689,3
213.754,2
215.866,3
216.090,2
216.497,1
216.777,2
217.434,3
217.625,2
218.009,1
218.417,2
218.873,3
219.057,2
219.522,1
222.066,3
222.449,2
223.962,1
224.402,2
224.834,3
225.138,2
228.250,3
228.489,2
228.770,1
229.105,2
230.353,3
231.730,2
235.202,2
235.627,3
236.002,1
237.114,2
237.372,3
237.899,1
238.450,2
238.802,3
241.482,1
241.770,2
242.466,3
242.707,2
243.146,1
244.393,2
246.026,3
246.505,2
246.947,1
248.060,3
248.314,2
248.658,1
250.842,3
250.876,1
250.900,2
